{'loss': 1.201, 'learning_rate': 4e-05, 'epoch': 0.02}
{'loss': 0.016, 'learning_rate': 5.6000000000000006e-05, 'epoch': 3.58}
{'loss': 0.0181, 'learning_rate': 5.5333333333333334e-05, 'epoch': 3.6}
{'loss': 0.0091, 'learning_rate': 5.466666666666666e-05, 'epoch': 3.61}
{'loss': 0.0166, 'learning_rate': 5.4000000000000005e-05, 'epoch': 3.63}
{'loss': 0.0165, 'learning_rate': 5.333333333333333e-05, 'epoch': 3.64}
{'loss': 0.0129, 'learning_rate': 5.266666666666666e-05, 'epoch': 3.66}
{'loss': 0.0143, 'learning_rate': 5.2000000000000004e-05, 'epoch': 3.68}
{'loss': 0.0682, 'learning_rate': 5.133333333333333e-05, 'epoch': 3.69}
{'loss': 0.0121, 'learning_rate': 5.0666666666666674e-05, 'epoch': 3.71}
{'loss': 0.0297, 'learning_rate': 5e-05, 'epoch': 3.72}
{'loss': 0.0087, 'learning_rate': 4.933333333333334e-05, 'epoch': 3.74}
{'loss': 0.0109, 'learning_rate': 4.866666666666667e-05, 'epoch': 3.76}
{'loss': 0.0163, 'learning_rate': 4.8e-05, 'epoch': 3.77}
{'loss': 0.0128, 'learning_rate': 4.7333333333333336e-05, 'epoch': 3.79}
{'loss': 0.0169, 'learning_rate': 4.666666666666667e-05, 'epoch': 3.81}
{'loss': 0.0122, 'learning_rate': 4.600000000000001e-05, 'epoch': 3.82}
{'loss': 0.0112, 'learning_rate': 4.5333333333333335e-05, 'epoch': 3.84}
{'loss': 0.011, 'learning_rate': 4.466666666666667e-05, 'epoch': 3.85}
{'loss': 0.0157, 'learning_rate': 4.4000000000000006e-05, 'epoch': 3.87}
{'loss': 0.0146, 'learning_rate': 4.3333333333333334e-05, 'epoch': 3.89}
{'loss': 0.0168, 'learning_rate': 4.266666666666667e-05, 'epoch': 3.9}
{'loss': 0.0165, 'learning_rate': 4.2e-05, 'epoch': 3.92}
{'loss': 0.018, 'learning_rate': 4.133333333333333e-05, 'epoch': 3.94}
{'loss': 0.0138, 'learning_rate': 4.066666666666667e-05, 'epoch': 3.95}
{'loss': 0.0124, 'learning_rate': 4e-05, 'epoch': 3.97}
{'loss': 0.0109, 'learning_rate': 3.933333333333333e-05, 'epoch': 3.98}
{'loss': 0.0138, 'learning_rate': 3.866666666666667e-05, 'epoch': 4.0}
{'eval_loss': 0.12942828238010406, 'eval_runtime': 22.761, 'eval_samples_per_second': 1.23, 'eval_steps_per_second': 1.23, 'epoch': 4.0}
{'loss': 0.0104, 'learning_rate': 3.8e-05, 'epoch': 4.02}
{'loss': 0.0094, 'learning_rate': 3.733333333333334e-05, 'epoch': 4.03}
{'loss': 0.0067, 'learning_rate': 3.6666666666666666e-05, 'epoch': 4.05}
{'loss': 0.005, 'learning_rate': 3.6e-05, 'epoch': 4.06}
{'loss': 0.0105, 'learning_rate': 3.5333333333333336e-05, 'epoch': 4.08}
{'loss': 0.0071, 'learning_rate': 3.466666666666667e-05, 'epoch': 4.1}
{'loss': 0.0126, 'learning_rate': 3.4000000000000007e-05, 'epoch': 4.11}
{'loss': 0.0107, 'learning_rate': 3.3333333333333335e-05, 'epoch': 4.13}
{'loss': 0.0119, 'learning_rate': 3.266666666666667e-05, 'epoch': 4.15}
{'loss': 0.0081, 'learning_rate': 3.2000000000000005e-05, 'epoch': 4.16}
{'loss': 0.0108, 'learning_rate': 3.1333333333333334e-05, 'epoch': 4.18}
{'loss': 0.008, 'learning_rate': 3.066666666666667e-05, 'epoch': 4.19}
{'loss': 0.008, 'learning_rate': 3e-05, 'epoch': 4.21}
{'loss': 0.0097, 'learning_rate': 2.9333333333333336e-05, 'epoch': 4.23}
{'loss': 0.0382, 'learning_rate': 2.8666666666666668e-05, 'epoch': 4.24}
{'loss': 0.0079, 'learning_rate': 2.8000000000000003e-05, 'epoch': 4.26}
{'loss': 0.0091, 'learning_rate': 2.733333333333333e-05, 'epoch': 4.28}
{'loss': 0.0102, 'learning_rate': 2.6666666666666667e-05, 'epoch': 4.29}
{'loss': 0.0079, 'learning_rate': 2.6000000000000002e-05, 'epoch': 4.31}
{'loss': 0.0078, 'learning_rate': 2.5333333333333337e-05, 'epoch': 4.32}
{'loss': 0.0096, 'learning_rate': 2.466666666666667e-05, 'epoch': 4.34}
{'loss': 0.0155, 'learning_rate': 2.4e-05, 'epoch': 4.36}
{'loss': 0.0092, 'learning_rate': 2.3333333333333336e-05, 'epoch': 4.37}
{'loss': 0.0082, 'learning_rate': 2.2666666666666668e-05, 'epoch': 4.39}
{'loss': 0.0083, 'learning_rate': 2.2000000000000003e-05, 'epoch': 4.4}
{'loss': 0.0073, 'learning_rate': 2.1333333333333335e-05, 'epoch': 4.42}
{'loss': 0.0061, 'learning_rate': 2.0666666666666666e-05, 'epoch': 4.44}
{'loss': 0.0115, 'learning_rate': 2e-05, 'epoch': 4.45}
{'loss': 0.0136, 'learning_rate': 1.9333333333333333e-05, 'epoch': 4.47}
{'loss': 0.0082, 'learning_rate': 1.866666666666667e-05, 'epoch': 4.49}
{'loss': 0.0096, 'learning_rate': 1.8e-05, 'epoch': 4.5}
{'loss': 0.007, 'learning_rate': 1.7333333333333336e-05, 'epoch': 4.52}
{'loss': 0.0085, 'learning_rate': 1.6666666666666667e-05, 'epoch': 4.53}
{'loss': 0.0093, 'learning_rate': 1.6000000000000003e-05, 'epoch': 4.55}
{'loss': 0.0087, 'learning_rate': 1.5333333333333334e-05, 'epoch': 4.57}
{'loss': 0.0088, 'learning_rate': 1.4666666666666668e-05, 'epoch': 4.58}
{'loss': 0.0078, 'learning_rate': 1.4000000000000001e-05, 'epoch': 4.6}
{'loss': 0.0131, 'learning_rate': 1.3333333333333333e-05, 'epoch': 4.62}
{'loss': 0.0091, 'learning_rate': 1.2666666666666668e-05, 'epoch': 4.63}
{'loss': 0.0074, 'learning_rate': 1.2e-05, 'epoch': 4.65}
{'loss': 0.0081, 'learning_rate': 1.1333333333333334e-05, 'epoch': 4.66}
{'loss': 0.0079, 'learning_rate': 1.0666666666666667e-05, 'epoch': 4.68}
{'loss': 0.009, 'learning_rate': 1e-05, 'epoch': 4.7}
{'loss': 0.009, 'learning_rate': 9.333333333333334e-06, 'epoch': 4.71}
{'loss': 0.0112, 'learning_rate': 8.666666666666668e-06, 'epoch': 4.73}
{'loss': 0.014, 'learning_rate': 8.000000000000001e-06, 'epoch': 4.74}
{'loss': 0.0124, 'learning_rate': 7.333333333333334e-06, 'epoch': 4.76}
{'loss': 0.0076, 'learning_rate': 6.666666666666667e-06, 'epoch': 4.78}
{'loss': 0.0059, 'learning_rate': 6e-06, 'epoch': 4.79}
{'loss': 0.0091, 'learning_rate': 5.333333333333334e-06, 'epoch': 4.81}
{'loss': 0.0091, 'learning_rate': 4.666666666666667e-06, 'epoch': 4.83}
{'loss': 0.0106, 'learning_rate': 4.000000000000001e-06, 'epoch': 4.84}
{'loss': 0.0105, 'learning_rate': 3.3333333333333333e-06, 'epoch': 4.86}
{'loss': 0.012, 'learning_rate': 2.666666666666667e-06, 'epoch': 4.87}
{'loss': 0.0098, 'learning_rate': 2.0000000000000003e-06, 'epoch': 4.89}
{'loss': 0.0085, 'learning_rate': 1.3333333333333334e-06, 'epoch': 4.91}
